Author,Genre,,,,,,
Ben Aaronovitch,Crime,,,,,,
Jeffrey Deaver,Crime,,,,,,
Vincent Bugliosi,Crime,,,,,,
J.R.R. Tolkien,Fantasy,,,,,,
George R.R. Martin,Fantasy,,,,,,
Patrick Rothfuss,Fantasy,,,,,,
Philip Pullman,Fantasy,,,,,,
Christopher Paolini,Fantasy,,,,,,
Brandon Sanderson,Fantasy,,,,,,
Rick Riordan,Fantasy,,,,,,
Cassandra Clare,Fantasy,,,,,,
Stephenie Meyer,Fantasy,,,,,,
Robert Jordan,Fantasy,,,,,,
Terry Pratchett,Fantasy,,,,,,
Sarah J. Maas,Fantasy,,,,,,
Erin Morgenstern,Fantasy,,,,,,
Kristin Cashore,Fantasy,,,,,,
William Goldman,Fantasy,,,,,,
John Tiffany,Fantasy,,,,,,
Leigh Bardugo,Fantasy,,,,,,
Scott Lynch,Fantasy,,,,,,
Robin Hobb,Fantasy,,,,,,
V.E. Schwab,Fantasy,,,,,,
Harper Lee,Fiction,,,,,,
George Orwell,Fiction,,,,,,
F. Scott Fitzgerald,Fiction,,,,,,
J.D. Salinger,Fiction,,,,,,
Suzanne Collins,Fiction,,,,,,
Khaled Hosseini,Fiction,,,,,,
Margaret Atwood,Fiction,,,,,,
William Golding,Fiction,,,,,,
Jane Austen,Fiction,,,,,,
Paulo Coelho,Fiction,,,,,,
Yann Martel,Fiction,,,,,,
Ray Bradbury,Fiction,,,,,,
Stieg Larsson,Fiction,,,,,,
Aldous Huxley,Fiction,,,,,,
Markus Zusak,Fiction,,,,,,
John Steinbeck,Fiction,,,,,,
Mark Haddon,Fiction,,,,,,
Kathryn Stockett,Fiction,,,,,,
Kurt Vonnegut,Fiction,,,,,,
Charlotte Bronte,Fiction,,,,,,
John Green,Fiction,,,,,,
Audrey Niffenegger,Fiction,,,,,,
Arthur Golden,Fiction,,,,,,
Sara Gruen,Fiction,,,,,,
Cormac McCarthy,Fiction,,,,,,
Douglas Adams,Fiction,,,,,,
Joseph Heller,Fiction,,,,,,
Mary Wollstonecraft Shelly,Fiction,,,,,,
Gabriel Garcia Marquez,Fiction,,,,,,
Mark Twain,Fiction,,,,,,
Oscar Wilde,Fiction,,,,,,
Anthony Doerr,Fiction,,,,,,
Diana Gabaldon,Historical fiction,,,,,,
Ken Follett,Historical fiction,,,,,,
Kristin Hannah,Historical fiction,,,,,,
Philippa Gregory,Historical fiction,,,,,,
Mary Ann Shaffer,Historical fiction,,,,,,
Margaret Mitchell,Historical fiction,,,,,,
Ruta Sepetys,Historical fiction,,,,,,
Elizabeth E. Wein,Historical fiction,,,,,,
Hilary Mantel,Historical fiction,,,,,,
John Boyne,Historical fiction,,,,,,
Anita Diamant,Historical fiction,,,,,,
Tatiana de Rosnay,Historical fiction,,,,,,
Colson Whitehead,Historical fiction,,,,,,
Christina Baker Kline,Historical fiction,,,,,,
Lisa See,Historical fiction,,,,,,
Carlos Ruiz Zafon,Historical fiction,,,,,,
Sue Monk Kidd,Historical fiction,,,,,,
Amor Towles,Historical fiction,,,,,,
Kate Quinn,Historical fiction,,,,,,
Madeline Miller,Historical fiction,,,,,,
Paula McLain,Historical fiction,,,,,,
Geraldine Brooks,Historical fiction,,,,,,
Ian McEwan,Historical fiction,,,,,,
Martha Hall Kelly,Historical fiction,,,,,,
Bernard Cornwell,Historical fiction,,,,,,
Lisa Wingate,Historical fiction,,,,,,
Mackenzi Lee,Historical fiction,,,,,,
Jean M. Auel,Historical fiction,,,,,,
Jared Diamond,History,,,,,,
Yuval Noah Harari,History,,,,,,
Howard Zinn,History,,,,,,
Bill Bryson,History,,,,,,
William L. Shirer,History,,,,,,
Charles C. Mann,History,,,,,,
Dee Brown,History,,,,,,
Barbara W. Tuchman,History,,,,,,
Mary Beard,History,,,,,,
Simon Winchester,History,,,,,,
James W. Loewen,History,,,,,,
Jack Weatherford,History,,,,,,
Herodotus,History,,,,,,
Mark Kurlansky,History,,,,,,
Adam Hochschild,History,,,,,,
Stephen E. Ambrose,History,,,,,,
David Grann,History,,,,,,
Nathaniel Philbrick,History,,,,,,
Candice Millard,History,,,,,,
Joseph J. Ellis,History,,,,,,
Isabel Wilkerson,History,,,,,,
Thomas Cahill,History,,,,,,
Dava Sobel,History,,,,,,
Steven Johnson,History,,,,,,
John Hersey,History,,,,,,
Timothy Egan,History,,,,,,
Daniel James Brown,History,,,,,,
Ian Mortimer,History,,,,,,
Sun Tzu,History,,,,,,
James M. McPherson,History,,,,,,
Alison Weir,History,,,,,,
Margot Lee Shetterly,History,,,,,,
Stephen King,Horror,,,,,,
Bram Stoker,Horror,,,,,,
Shirley Jackson,Horror,,,,,,
Max Brooks,Horror,,,,,,
Anne Rice,Horror,,,,,,
Mark Z. Danielewski,Horror,,,,,,
Joe Hill,Horror,,,,,,
Josh Malerman,Horror,,,,,,
William Peter Blatty,Horror,,,,,,
John Ajvide Lindqvist,Horror,,,,,,
Robert Louis Stevenson,Horror,,,,,,
M.R. Carey,Horror,,,,,,
Richard Bachman,Horror,,,,,,
Ira Levin,Horror,,,,,,
Justin Cronin,Horror,,,,,,
Guillermo del Toro,Horror,,,,,,
Richard Matheson,Horror,,,,,,
David Sedaris,Humor,,,,,,
Allie Brosh,Humor,,,,,,
Christopher Moore,Humor,,,,,,
Jenny Lawson,Humor,,,,,,
Jon Stewart,Humor,,,,,,
Justin Halpern,Humor,,,,,,
Maria Semple,Humor,,,,,,
Aziz Ansari,Humor,,,,,,
Helen Fielding,Humor,,,,,,
Graeme Simsion,Humor,,,,,,
John Kennedy Toole,Humor,,,,,,
Jim Gaffigan,Humor,,,,,,
Sarah Andersen,Humor,,,,,,
Randall Munroe,Humor,,,,,,
Janet Evanovich,Humor,,,,,,
Chelsea Handler,Humor,,,,,,
Adam Mansbach,Humor,,,,,,
Ellen DeGeneres,Humor,,,,,,
Jonas Jonasson,Humor,,,,,,
Amy Schumer,Humor,,,,,,
Oliver Sacks,Music,,,,,,
Daniel J. Levitin,Music,,,,,,
Alex Ross,Music,,,,,,
Keith Richards,Music,,,,,,
